Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,return_1d,return_5d,return_10d,return_20d,sma_5,ema_5,close_to_sma_5,sma_10,ema_10,close_to_sma_10,sma_20,ema_20,close_to_sma_20,sma_50,ema_50,close_to_sma_50,sma_200,ema_200,close_to_sma_200,volatility_5d,volatility_10d,volatility_20d,rsi,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,volume_sma_5,volume_ratio_5,volume_sma_10,volume_ratio_10,volume_sma_20,volume_ratio_20,day_of_week,day_of_month,month,quarter,sentiment_score_mean,sentiment_score_median,sentiment_score_std,sentiment_score_min,sentiment_score_max,news_count,sentiment_positive_mean,sentiment_negative_mean,sentiment_neutral_mean,sentiment_score_mean_lag_1,sentiment_positive_mean_lag_1,sentiment_negative_mean_lag_1,sentiment_score_mean_lag_3,sentiment_positive_mean_lag_3,sentiment_negative_mean_lag_3,sentiment_score_mean_lag_5,sentiment_positive_mean_lag_5,sentiment_negative_mean_lag_5,sentiment_score_mean_lag_7,sentiment_positive_mean_lag_7,sentiment_negative_mean_lag_7,target
2017-04-05,42.442764,42.73475,42.085728,42.15475,3.7104e+07,0.0,0.0,GOOGL,-0.004293105,-0.0011296099,-0.0010473503,-0.005541033,42.263603,42.224113,-0.0025755586,42.006824,42.214565,0.0035214925,42.42653,42.235184,-0.0064058574,42.008484,41.923218,0.0034818738,39.906918,40.060764,0.056326956,0.0062766657,0.007247555,0.0072312555,49.258217,0.018577663,0.055174652,-0.03659699,43.551727,42.42653,41.30133,0.053042144,0.3792308,3.0254e+07,1.2264163,3.5736e+07,1.0382807,3.25332e+07,1.1404965,2.0,5.0,4.0,2.0,-0.23857705,-0.16842674,0.4228237,-0.8026347,0.16323471,7.0,0.06632726,0.3049043,0.62876844,-0.042792004,0.26368827,0.3064803,-0.25853187,0.16954991,0.42808178,0.27985436,0.35904038,0.07918603,0.3872489,0.57306296,0.18581407,0
2017-04-06,42.184055,42.387157,41.910942,41.965565,3.0672e+07,0.0,0.0,GOOGL,-0.004487895,-0.005155889,0.00649099,-0.014850996,42.220104,42.13793,-0.0060288874,42.03389,42.169292,-0.0016254389,42.394897,42.209503,-0.010127,41.995224,41.924877,-0.00070625707,39.94074,40.079758,0.05069579,0.0065683965,0.006199251,0.007182883,46.222446,-0.0033892079,0.04346188,-0.046851087,43.535244,42.394897,41.254555,0.05379632,0.31175295,3.25908e+07,0.9411245,3.22278e+07,0.9517249,3.27191e+07,0.9374341,3.0,6.0,4.0,2.0,-0.55939066,-0.55939066,0.22410291,-0.71785533,-0.40092596,2.0,0.0,0.55939066,0.44060934,-0.23857705,0.06632726,0.3049043,0.5265833,0.5608852,0.034301884,0.34483257,0.3805928,0.035760228,-0.053382944,0.21503012,0.26841307,0
2017-04-07,41.960598,42.004295,41.578236,41.81659,2.2232e+07,0.0,0.0,GOOGL,-0.0035499432,-0.006723078,0.008334003,-0.022416618,42.163498,42.03082,-0.008227681,42.06845,42.105164,-0.0059869285,42.346954,42.172085,-0.012524264,41.980446,41.92063,-0.0039031699,39.97342,40.09708,0.046109885,0.0066628912,0.006026574,0.007113505,43.926674,-0.03244517,0.02828047,-0.06072564,43.50048,42.346954,41.193428,0.05447981,0.27011183,3.12732e+07,0.71089625,3.02396e+07,0.7351949,3.24941e+07,0.68418574,4.0,7.0,4.0,2.0,0.0123145925,-0.09082072,0.57435024,-0.6297413,0.79329306,6.0,0.24714021,0.23482563,0.51803416,-0.55939066,0.0,0.55939066,-0.042792004,0.26368827,0.3064803,-0.25853187,0.16954991,0.42808178,0.27985436,0.35904038,0.07918603,0
2017-04-10,41.788776,42.046997,41.751537,41.796722,2.0924e+07,0.0,0.0,GOOGL,-0.0004750972,-0.017566549,0.0038043158,-0.02646376,42.014027,41.952785,-0.005172183,42.08429,42.049084,-0.0068331505,42.290146,42.136337,-0.011667566,41.97714,41.91577,-0.0042979703,40.00491,40.11403,0.044789817,0.0017784868,0.0059294086,0.007026424,43.61556,-0.056424897,0.011339397,-0.0677643,43.43404,42.290146,41.14625,0.05409749,0.28432333,2.75804e+07,0.7586547,2.84628e+07,0.73513496,3.23737e+07,0.64632714,0.0,10.0,4.0,2.0,0.3232712,0.48087558,0.6445769,-0.57784206,0.90917563,4.0,0.4677317,0.14446051,0.3878078,-0.11144236,0.1592614,0.27070376,0.0123145925,0.24714021,0.23482563,-0.23857705,0.06632726,0.3049043,0.5265833,0.5608852,0.034301884,0
2017-04-11,41.796726,41.942223,41.444157,41.70635,1.9486e+07,0.0,0.0,GOOGL,-0.0021622267,-0.014884494,-0.00089218223,-0.030060828,41.887997,41.87064,-0.0043364866,42.080566,41.986767,-0.008892893,42.225517,42.095383,-0.012295122,41.99308,41.90756,-0.0068280436,40.043316,40.129906,0.041530862,0.0016781825,0.0059274724,0.0069959476,42.152992,-0.081778735,-0.007284229,-0.0744945,43.34663,42.225517,41.1044,0.053101268,0.26845896,2.60836e+07,0.74705946,2.7373e+07,0.71186936,3.22863e+07,0.60353774,1.0,11.0,4.0,2.0,0.15981567,0.1248626,0.61267376,-0.84037095,0.851684,6.0,0.3085372,0.14872153,0.54274124,0.3232712,0.4677317,0.14446051,-0.35620627,0.120233156,0.47643942,-0.55939066,0.0,0.55939066,-0.042792004,0.26368827,0.3064803,1
2017-04-12,41.63583,41.89703,41.59263,41.784805,2.2716e+07,0.0,0.0,GOOGL,0.0018811736,-0.008775892,-0.009895588,-0.031011408,41.814007,41.84203,-0.0006983484,42.038803,41.950047,-0.006042021,42.158653,42.065807,-0.008867627,42.014202,41.902744,-0.005460012,40.083122,40.146408,0.0424539,0.0025355574,0.0045861714,0.00696706,43.911407,-0.09445223,-0.02471783,-0.0697344,43.212093,42.158653,41.105213,0.049975015,0.3225588,2.3206e+07,0.97888476,2.673e+07,0.84983164,3.20892e+07,0.7079017,2.0,12.0,4.0,2.0,0.5806191,0.62001354,0.4291858,0.1330942,0.9887495,3.0,0.5806191,0.0,0.4193809,0.15981567,0.3085372,0.14872153,-0.11144236,0.1592614,0.27070376,0.0123145925,0.24714021,0.23482563,-0.23857705,0.06632726,0.3049043,0
2017-04-13,41.763947,41.897526,41.60554,41.72124,2.1474e+07,0.0,0.0,GOOGL,-0.00152123,-0.005822005,-0.010947877,-0.034276,41.76514,41.801765,-0.001051123,41.992622,41.908447,-0.0064626145,42.084614,42.03299,-0.008634316,42.03897,41.895626,-0.007558022,40.120094,40.162113,0.03990882,0.0020349727,0.0045849457,0.0069209714,42.776875,-0.108375885,-0.041449443,-0.06692645,43.03211,42.084614,41.13712,0.04502805,0.30824584,2.13664e+07,1.005036,2.69786e+07,0.7959642,3.20584e+07,0.66984004,3.0,13.0,4.0,2.0,-0.28525072,-0.13090982,0.30954686,-0.6416226,-0.08321981,3.0,0.0,0.28525072,0.7147493,0.5806191,0.5806191,0.0,0.3232712,0.4677317,0.14446051,-0.35620627,0.120233156,0.47643942,-0.55939066,0.0,0.55939066,1
2017-04-17,41.780834,42.48895,41.76345,42.463623,2.0982e+07,0.0,0.0,GOOGL,0.017793862,0.015473134,0.008646029,-0.019762233,41.894547,42.022385,0.01358351,42.029022,42.009388,0.010340484,42.04181,42.074,0.010033225,42.07559,41.9179,0.009222283,40.159805,40.18506,0.057366226,0.008354987,0.0074977595,0.008142701,56.811626,-0.05882832,-0.044925217,-0.013903105,42.815834,42.04181,41.26778,0.03682177,0.7724808,2.11164e+07,0.9936353,2.61948e+07,0.8009987,3.12392e+07,0.67165613,0.0,17.0,4.0,2.0,0.040485434,-0.21503827,0.593612,-0.45962673,0.93778414,6.0,0.2601285,0.21964306,0.52022845,0.054803926,0.29490274,0.2400988,0.71306336,0.71306336,0.0,0.5806191,0.5806191,0.0,0.3232712,0.4677317,0.14446051,0
2017-04-18,42.335007,42.575848,42.27095,42.407013,1.8724e+07,0.0,0.0,GOOGL,-0.0013331436,0.014601396,-0.003221649,-0.016038578,42.016605,42.150593,0.009291726,42.015316,42.081684,0.0093227085,42.007248,42.105717,0.009516609,42.10922,41.937084,0.007071962,40.197163,40.207214,0.05497525,0.008455073,0.006693402,0.00808506,55.689964,-0.023854502,-0.040711075,0.016856572,42.629505,42.007248,41.384987,0.029626265,0.821222,2.06764e+07,0.9055735,2.41284e+07,0.776015,3.06332e+07,0.6112323,1.0,18.0,4.0,2.0,0.20434251,0.18269156,0.4856366,-0.4675006,0.7826205,6.0,0.30702734,0.10268483,0.5902878,0.040485434,0.2601285,0.21964306,0.12753244,0.4487499,0.32121748,-0.28525072,0.0,0.28525072,0.15981567,0.3085372,0.14872153,1
2017-04-19,42.575848,42.715385,42.38417,42.53215,2.1606e+07,0.0,0.0,GOOGL,0.0029508641,0.019800387,0.0046211747,0.0074928883,42.181767,42.27778,0.008306522,42.03488,42.163586,0.011829924,42.023064,42.14633,0.012114489,42.143867,41.96042,0.009213231,40.23348,40.230396,0.057133313,0.007980864,0.0065551274,0.0066509377,57.679066,0.013800951,-0.029808668,0.04360962,42.682606,42.023064,41.363518,0.031389628,0.8859393,2.11004e+07,1.0239617,2.3592e+07,0.9158189,2.91755e+07,0.74055284,2.0,19.0,4.0,2.0,-0.22360961,-0.405841,0.5306351,-0.6391175,0.3741296,3.0,0.12470987,0.34831947,0.5269706,0.20434251,0.30702734,0.10268483,0.054803926,0.29490274,0.2400988,0.71306336,0.71306336,0.0,0.5806191,0.5806191,0.0,1
